damage,street_type,fire_unit,incident_start_date,structure_type,structure_category,roof_material,eaves,exterior_siding,window_pane,attached_patio_material,attached_fence_material,year_built
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,Non Combustible,1953
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,Non Combustible,1949
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Non Combustible,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Multi Pane,Combustible,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Multi Pane,Combustible,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Asphalt,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Asphalt,Enclosed,Combustible,Single Pane,Combustible,No Fence,1920
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Combustible,No Fence,1920
