damage,street_type,fire_unit,incident_start_date,structure_type,structure_category,roof_material,eaves,exterior_siding,window_pane,attached_patio_material,attached_fence_material,year_built
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,Non Combustible,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Non Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Non Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Non Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Non Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Non Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Non Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1964
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1955
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1956
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,2007
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1974
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1972
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1974
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1973
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1974
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1974
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1987
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1975
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1987
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1975
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1922
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1962
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1960
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,No Eaves,Combustible,No Windows,No Patio Cover/Carport,No Fence,1982
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Combustible,No Windows,No Patio Cover/Carport,No Fence,1982
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Mobile Home Triple Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1992
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1956
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Triple Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Ignition Resistant,Multi Pane,Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Ignition Resistant,Multi Pane,Non Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,No Eaves,Ignition Resistant,Multi Pane,Non Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Ignition Resistant,Multi Pane,Non Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Ignition Resistant,Multi Pane,Non Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Ignition Resistant,Multi Pane,Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Ignition Resistant,Multi Pane,Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Ignition Resistant,Multi Pane,Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Ignition Resistant,Multi Pane,Non Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,No Eaves,Ignition Resistant,Multi Pane,Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,No Eaves,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,No Eaves,Ignition Resistant,Multi Pane,Unknown,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,No Eaves,Ignition Resistant,Multi Pane,Non Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Ignition Resistant,Multi Pane,Non Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,No Eaves,Ignition Resistant,Multi Pane,Non Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Ignition Resistant,Multi Pane,Non Combustible,No Fence,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,No Windows,Non Combustible,No Fence,1986
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Ignition Resistant,Multi Pane,No Patio Cover/Carport,Non Combustible,1988
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Non Combustible,1957
Destroyed (>50%),,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1966
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,Combustible,1946
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1946
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,Combustible,1930
Affected (1-9%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1946
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,Non Combustible,1989
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,Combustible,1989
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,No Patio Cover/Carport,Combustible,1990
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Non Combustible,1988
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Non Combustible,1949
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Combustible,Multi Pane,Combustible,Non Combustible,1992
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1956
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1949
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Non Combustible,1946
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1946
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Unknown,Combustible,No Fence,1949
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1935
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1946
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1935
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1946
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Combustible,Multi Pane,Combustible,No Fence,1948
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1989
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1948
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Non Combustible,1959
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,No Windows,Combustible,Non Combustible,1959
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1944
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1940
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Single Pane,Combustible,No Fence,1945
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1940
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1950
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1945
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Single Pane,Combustible,No Fence,1945
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,2012
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,2018
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,2012
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,Non Combustible,1948
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Combustible,No Windows,No Patio Cover/Carport,No Fence,2012
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Combustible,1948
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1948
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1955
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Ignition Resistant,No Windows,No Patio Cover/Carport,No Fence,1948
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Single Pane,Combustible,Non Combustible,1982
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1955
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1989
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,No Windows,Combustible,No Fence,1989
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1949
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Multi Family Residence Single Story,Multiple Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1953
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1945
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Combustible,Single Pane,Unknown,Non Combustible,1988
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unknown,Combustible,Unknown,No Patio Cover/Carport,Combustible,1972
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unknown,Combustible,Unknown,Unknown,Non Combustible,1955
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Combustible,Unknown,No Patio Cover/Carport,No Fence,1955
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Ignition Resistant,Multi Pane,Combustible,No Fence,1954
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,Non Combustible,1958
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1954
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Combustible,1953
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Single Pane,Combustible,No Fence,1956
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1975
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1962
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1960
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1949
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1977
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Non Combustible,No Fence,1981
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Non Combustible,No Fence,1949
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1948
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Tile,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1948
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1960
